FECHA,HORA,AUTOPISTA,BANDA Y/O RAMAL,PK,CONDICIONES METEOROLOGICAS,SUPERFICIE DE LA VIA,LESIONADOS,FALLECIDOS,TIPO DE SINIESTRO,MOTO,LVIANO,BUS,CAMION,AÑO_ARCHIVO
21/3/2025,12,AU DELLEPIANE,ASCENDENTE,3900,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2025
21/3/2025,16,AU DELLEPIANE,ASCENDENTE,3700,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,2025
21/3/2025,16,AU DELLEPIANE,ASCENDENTE,1800,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,1,1,0,2025
21/3/2025,18,AU DELLEPIANE,DESCENDENTE,3200,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,2025
22/3/2025,8,AU ILLIA,DESCENDENTE,3000,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2025
23/3/2025,5,AU PERITO MORENO,ASCENDENTE,5300,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,2025
25/3/2025,11,AU DELLEPIANE,DESCENDENTE,3400,BUENO,SECA,1,0,OBSTACULO NO FIJO,0,1,0,1,2025
25/3/2025,14,PASEO DEL BAJO,ASCENDENTE,500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,0,0,3,2025
25/3/2025,16,AU DELLEPIANE,DESCENDENTE,3300,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2025
26/3/2025,18,AU PERITO MORENO,DESCENDENTE,200,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,2,0,0,2025
27/3/2025,6,AU PERITO MORENO,ASCENDENTE,3800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,2025
27/3/2025,13,AU FRONDIZI,DESCENDENTE,2000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,1,2025
27/3/2025,14,AU DELLEPIANE,ASCENDENTE,3800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2025
27/3/2025,15,AU 25 DE MAYO,DESCENDENTE,6700,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2025
29/3/2025,11,AU DELLEPIANE,DESCENDENTE,2000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2025
29/3/2025,14,AU 25 DE MAYO,DESCENDENTE,3200,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2025
29/3/2025,16,AV. LUGONES,DESCENDENTE,8800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,2025
29/3/2025,18,AU 25 DE MAYO,DESCENDENTE,9200,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,1,1,0,0,2025
29/3/2025,20,AU DELLEPIANE,ASCENDENTE,700,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2025
