año,mes,lluvia_dias,mm
2014,Marzo,11.0,182.1
2014,Abril,10.0,127.5
2014,Mayo,12.0,146.6
2014,Junio,10.0,56.2
2014,Julio,10.0,136.1
2014,Agosto,6.0,26.0
2014,Septiembre,12.0,167.1
2014,Octubre,11.0,247.4
2014,Noviembre,11.0,279.0
2014,Diciembre,10.0,91.8
2015,Enero,14.0,184.4
2015,Febrero,7.0,38.6
2015,Marzo,5.0,18.4
2015,Abril,5.0,70.3
2015,Mayo,8.0,46.2
2015,Junio,8.0,69.1
2015,Julio,5.0,69.4
2015,Agosto,12.0,253.7
2015,Septiembre,7.0,33.8
2015,Octubre,9.0,85.5
2015,Noviembre,8.0,232.0
2015,Diciembre,9.0,55.4
2016,Enero,6.0,34.9
2016,Febrero,9.0,194.0
2016,Marzo,7.0,49.1
2016,Abril,20.0,232.8
2016,Mayo,7.0,42.6
2016,Junio,9.0,33.8
2016,Julio,11.0,182.7
2016,Agosto,4.0,58.0
2016,Septiembre,5.0,55.1
2016,Octubre,13.0,161.1
2016,Noviembre,5.0,89.5
2016,Diciembre,5.0,90.4
2017,Enero,8.0,108.8
2017,Febrero,10.0,145.6
2017,Marzo,5.0,85.7
2017,Abril,5.0,118.9
2017,Mayo,11.0,141.0
2017,Junio,2.0,0.4
2017,Julio,11.0,121.3
2017,Agosto,13.0,73.2
2017,Septiembre,9.0,194.0
2017,Octubre,11.0,73.8
2017,Noviembre,3.0,35.0
2017,Diciembre,10.0,95.2
2018,Enero,7.0,49.3
2018,Febrero,6.0,39.8
2018,Marzo,6.0,70.1
2018,Abril,11.0,263.5
2018,Mayo,14.0,216.6
2018,Junio,4.0,6.6
2018,Julio,12.0,125.3
2018,Agosto,8.0,54.3
2018,Septiembre,8.0,111.7
2018,Octubre,10.0,32.0
2018,Noviembre,8.0,189.5
2018,Diciembre,10.0,314.2
2019,Enero,12.0,134.8
2019,Febrero,7.0,47.4
2019,Marzo,8.0,104.0
2019,Abril,5.0,51.2
2019,Mayo,7.0,75.5
2019,Junio,10.0,179.4
2019,Julio,7.0,75.5
2019,Agosto,5.0,49.0
2019,Septiembre,3.0,68.9
2019,Octubre,14.0,185.4
2019,Noviembre,10.0,94.0
2019,Diciembre,10.0,142.7
2020,Enero,8.0,52.8
2020,Febrero,4.0,66.2
2020,Marzo,11.0,158.3
2020,Abril,7.0,87.2
2020,Mayo,4.0,22.6
2020,Junio,9.0,89.2
2020,Julio,5.0,6.4
2020,Agosto,6.0,29.6
2020,Septiembre,5.0,105.9
2020,Octubre,8.0,94.7
2020,Noviembre,4.0,68.1
2020,Diciembre,7.0,55.7
2021,Enero,9.0,141.8
2021,Febrero,10.0,99.3
2021,Marzo,9.0,96.5
2021,Abril,4.0,78.0
2021,Mayo,5.0,98.4
2021,Junio,6.0,10.0
2021,Julio,6.0,59.7
2021,Agosto,2.0,45.3
2021,Septiembre,10.0,146.2
2021,Octubre,6.0,23.6
2021,Noviembre,11.0,140.5
2021,Diciembre,6.0,20.5
2022,Enero,11.0,118.6
2022,Febrero,10.0,124.9
2022,Marzo,10.0,89.0
2022,Abril,9.0,90.5
2022,Mayo,3.0,31.3
2022,Junio,0.0,0.0
2022,Julio,8.0,28.4
2022,Agosto,2.0,13.0
2022,Septiembre,5.0,21.0
2022,Octubre,11.0,31.2
2022,Noviembre,5.0,125.2
2022,Diciembre,6.0,79.3
2023,Enero,5.0,75.3
2023,Febrero,5.0,42.5
2023,Marzo,4.0,38.0
2023,Abril,8.0,68.8
2023,Mayo,9.0,171.3
2023,Junio,1.0,0.3
2023,Julio,10.0,68.4
2023,Agosto,4.0,93.9
2023,Septiembre,8.0,45.2
2023,Octubre,7.0,52.0
2023,Noviembre,9.0,146.4
2023,Diciembre,11.0,151.9
2024,Enero,5.0,93.6
2024,Febrero,7.0,91.7
2024,Marzo,10.0,334.4
2024,Abril,13.0,194.7
2024,Mayo,6.0,10.0
2024,Junio,8.0,32.2
2024,Julio,2.0,3.6
2024,Agosto,9.0,179.1
2024,Septiembre,1.0,14.3
2024,Octubre,7.0,67.6
2024,Noviembre,10.0,110.8
2024,Diciembre,5.0,29.7
2025,Enero,4.0,63.1
2025,Febrero,12.0,162.1
2025,Marzo,10.0,217.3
2025,Abril,6.0,85.3
2025,Mayo,11.0,287.2
2025,Junio,4.0,24.0
2025,Julio,5.0,43.2
2025,Agosto,7.0,176.3
2025,Septiembre,7.0,69.4
2025,Octubre,8.0,182.2
2025,Noviembre,11.0,108.2
2025,Diciembre,6.0,101.9
2026,Enero,5.0,18.5
2026,Febrero,8.0,73.5
2026,Marzo,8.0,81.9
